episode,timestep,return,ep_length,epsilon
1,2000,-2000.0,2000,0.981
2,4000,-2000.0,2000,0.962
3,6000,-2000.0,2000,0.9430000000000001
4,8000,-2000.0,2000,0.924
5,10000,-2000.0,2000,0.905
6,12000,-2000.0,2000,0.886
7,14000,-2000.0,2000,0.867
8,16000,-2000.0,2000,0.848
9,18000,-2000.0,2000,0.829
10,20000,-2000.0,2000,0.81
11,22000,-2000.0,2000,0.791
12,24000,-2000.0,2000,0.772
13,26000,-2000.0,2000,0.753
14,28000,-2000.0,2000,0.734
15,30000,-2000.0,2000,0.7150000000000001
16,32000,-2000.0,2000,0.696
17,34000,-2000.0,2000,0.677
18,36000,-2000.0,2000,0.658
19,38000,-2000.0,2000,0.639
20,40000,-2000.0,2000,0.62
21,42000,-2000.0,2000,0.601
22,44000,-2000.0,2000,0.5820000000000001
23,46000,-2000.0,2000,0.563
24,48000,-2000.0,2000,0.544
25,50000,-2000.0,2000,0.525
26,52000,-2000.0,2000,0.506
27,53111,-1111.0,1111,0.4954455000000001
28,55111,-2000.0,2000,0.4764455000000001
29,57111,-2000.0,2000,0.45744550000000006
30,59111,-2000.0,2000,0.43844550000000004
31,61111,-2000.0,2000,0.4194455
32,63111,-2000.0,2000,0.4004455000000001
33,64309,-1198.0,1198,0.38906450000000004
34,65840,-1531.0,1531,0.3745200000000001
35,66459,-619.0,619,0.3686395
36,67329,-870.0,870,0.36037449999999993
37,68067,-738.0,738,0.35336350000000005
38,68715,-648.0,648,0.3472075
39,69169,-454.0,454,0.3428945
40,69376,-207.0,207,0.340928
41,69811,-435.0,435,0.3367955
42,70419,-608.0,608,0.3310195
43,70921,-502.0,502,0.3262505
44,71318,-397.0,397,0.32247899999999996
45,71851,-533.0,533,0.3174155000000001
46,72215,-364.0,364,0.3139575000000001
47,72659,-444.0,444,0.30973950000000006
48,72893,-234.0,234,0.3075165000000001
49,73186,-293.0,293,0.30473300000000003
50,73469,-283.0,283,0.30204450000000005
51,73751,-282.0,282,0.29936550000000006
52,73973,-222.0,222,0.29725650000000003
53,74264,-291.0,291,0.2944920000000001
54,74476,-212.0,212,0.292478
55,74696,-220.0,220,0.2903880000000001
56,74921,-225.0,225,0.28825049999999997
57,75250,-329.0,329,0.2851250000000001
58,75464,-214.0,214,0.283092
59,75681,-217.0,217,0.28103050000000007
60,75888,-207.0,207,0.2790640000000001
61,76123,-235.0,235,0.2768315000000001
62,76340,-217.0,217,0.27477000000000007
63,76629,-289.0,289,0.2720245
64,76829,-200.0,200,0.2701245
65,77049,-220.0,220,0.26803450000000006
66,77280,-231.0,231,0.26583999999999997
67,77496,-216.0,216,0.263788
68,77700,-204.0,204,0.26185
69,77969,-269.0,269,0.2592945000000001
70,78301,-332.0,332,0.2561405000000001
71,78476,-175.0,175,0.254478
72,78643,-167.0,167,0.25289150000000005
73,78893,-250.0,250,0.25051650000000003
74,79050,-157.0,157,0.24902500000000005
75,79395,-345.0,345,0.2457475
76,79562,-167.0,167,0.24416100000000007
77,79716,-154.0,154,0.24269800000000008
78,79951,-235.0,235,0.2404655
79,80114,-163.0,163,0.23891700000000005
80,80591,-477.0,477,0.23438550000000002
81,80748,-157.0,157,0.23289400000000005
82,80989,-241.0,241,0.2306045
83,81216,-227.0,227,0.2284480000000001
84,81371,-155.0,155,0.2269755
85,81615,-244.0,244,0.22465749999999995
86,81766,-151.0,151,0.22322299999999995
87,81927,-161.0,161,0.2216935
88,82110,-183.0,183,0.219955
89,82321,-211.0,211,0.21795050000000005
90,82474,-153.0,153,0.21649700000000005
91,82637,-163.0,163,0.2149485
92,82806,-169.0,169,0.21334300000000006
93,82949,-143.0,143,0.21198450000000013
94,83118,-169.0,169,0.21037899999999998
95,83280,-162.0,162,0.20884000000000003
96,83446,-166.0,166,0.20726300000000009
97,83663,-217.0,217,0.20520150000000004
98,83824,-161.0,161,0.20367200000000008
99,83984,-160.0,160,0.202152
100,84138,-154.0,154,0.200689
101,84442,-304.0,304,0.19780100000000012
102,84634,-192.0,192,0.19597700000000007
103,84793,-159.0,159,0.1944665000000001
104,84942,-149.0,149,0.19305100000000008
105,85218,-276.0,276,0.19042899999999996
106,85446,-228.0,228,0.18826300000000007
107,85592,-146.0,146,0.18687600000000004
108,85742,-150.0,150,0.18545100000000003
109,85941,-199.0,199,0.18356050000000002
110,86095,-154.0,154,0.18209750000000002
111,86324,-229.0,229,0.17992200000000003
112,86457,-133.0,133,0.17865850000000005
113,86606,-149.0,149,0.17724300000000004
114,86760,-154.0,154,0.17578000000000005
115,86911,-151.0,151,0.17434550000000004
116,87200,-289.0,289,0.17160000000000009
117,87355,-155.0,155,0.1701275
118,87550,-195.0,195,0.16827500000000006
119,87772,-222.0,222,0.16616600000000015
120,87954,-182.0,182,0.16443700000000006
121,88129,-175.0,175,0.16277450000000004
122,88381,-252.0,252,0.16038050000000004
123,88525,-144.0,144,0.1590125000000001
124,88766,-241.0,241,0.15672300000000006
125,88976,-210.0,210,0.1547280000000001
126,89176,-200.0,200,0.15282800000000007
127,89427,-251.0,251,0.15044350000000006
128,89619,-192.0,192,0.14861950000000002
129,89861,-242.0,242,0.14632050000000008
130,90102,-241.0,241,0.14403100000000002
131,90338,-236.0,236,0.14178900000000005
132,90555,-217.0,217,0.13972750000000012
133,90710,-155.0,155,0.13825500000000002
134,90874,-164.0,164,0.13669700000000007
135,91152,-278.0,278,0.13405600000000006
