episode,mean,ci_lower,ci_upper,std_returns
0,-2000.0,-2000.0,-2000.0,0.0
1,-2000.0,-2000.0,-2000.0,0.0
2,-1989.2,-2009.6502308642225,-1968.7497691357776,40.409899777158564
3,-2000.0,-2000.0,-2000.0,0.0
4,-2000.0,-2000.0,-2000.0,0.0
5,-2000.0,-2000.0,-2000.0,0.0
6,-1998.8,-2001.0722478738026,-1996.5277521261974,4.48998886412873
7,-1953.7333333333333,-2003.856380855,-1903.6102858116667,99.04373893498882
8,-2000.0,-2000.0,-2000.0,0.0
9,-1831.5333333333333,-1973.4866396025793,-1689.5800270640873,280.50142404075046
10,-1678.6,-1911.1175645662543,-1446.0824354337456,459.45747717643394
11,-1699.2666666666667,-1933.3485852269416,-1465.1847481063917,462.54865930215624
12,-1630.8666666666666,-1867.3003990181635,-1394.4329343151696,467.1958713668414
13,-1597.6,-1865.5863943159966,-1329.6136056840032,529.5443072428722
14,-1512.2666666666667,-1808.094699486737,-1216.4386338465963,584.5597165578741
15,-1483.4,-1784.704402382264,-1182.095597617736,595.3810880436159
16,-1361.4666666666667,-1634.5198509136867,-1088.4134824196467,539.5563444987826
17,-1379.4666666666667,-1675.0527969289592,-1083.8805364043742,584.0817142223242
18,-1360.8,-1618.977309344997,-1102.622690655003,510.16143850092527
19,-1141.0666666666666,-1469.961517467164,-812.1718158661693,649.9001427569897
20,-1217.3333333333333,-1519.805452579854,-914.8612140868124,597.6885104764484
21,-1246.7333333333333,-1594.5211918083482,-898.9454748583184,687.2329509626912
22,-1156.2666666666667,-1474.4605500459206,-838.0727832874126,628.7549036698553
23,-1011.4666666666667,-1328.8211590226883,-694.1121743106452,627.0962570096839
24,-1080.3333333333333,-1422.499196700686,-738.1674699659804,676.12382166451
25,-973.9333333333333,-1265.8714111382246,-681.9952555284419,576.8731191133414
26,-1121.0,-1446.6563576669262,-795.3436423330738,643.5008417502912
27,-1009.6,-1368.6067938853278,-650.5932061146723,709.4017009659149
28,-1062.3333333333333,-1412.6675377428646,-711.9991289238019,692.2645608596631
29,-1036.9333333333334,-1392.9117574978281,-680.9549091688386,703.4176063256369
30,-1003.9333333333333,-1366.593974861062,-641.2726918056046,716.6217474294851
31,-1017.9333333333333,-1377.7598902180716,-658.1067764485948,711.0215624172183
32,-1019.8,-1334.6938274561055,-704.9061725438944,622.2339538576574
33,-958.1333333333333,-1312.5488301175037,-603.7178365491628,700.3292432055719
34,-955.1333333333333,-1303.5651017916537,-606.701564875013,688.5053247595274
35,-809.9333333333333,-1088.8441089786666,-531.022557688,551.1310148735557
36,-749.9333333333333,-1029.9904087724765,-469.87625789419013,553.3961169200794
37,-687.6666666666666,-926.967936635283,-448.3653966980503,472.8621598544573
38,-663.0666666666667,-856.9295449594703,-469.2037883738632,383.075356671359
39,-681.2,-962.187734019674,-400.212265980326,555.2351093605903
40,-594.6,-810.5726560404246,-378.62734395957546,426.7645408575241
41,-533.8666666666667,-745.9370054840122,-321.79632784932124,419.0535155429302
42,-529.4666666666667,-736.2674518744317,-322.6658814589017,408.64081484300556
43,-563.4,-771.2329468583415,-355.56705314165845,410.6803785589632
44,-610.2,-811.0446725765959,-409.3553274234042,396.87146533859044
45,-446.3333333333333,-544.6137203748842,-348.05294629178246,194.20321544425803
46,-396.4,-453.22717219233925,-339.5728278076607,112.29116913928124
47,-538.3333333333334,-739.4179700781996,-337.24869658846717,397.3456373933852
48,-459.6,-635.4512951503186,-283.7487048496815,347.4842538398923
49,-450.93333333333334,-531.7686942616722,-370.0979724049945,159.73163605108275
50,-416.4,-494.52179617210265,-338.2782038278973,154.36959977059388
51,-411.6,-476.7566421397952,-346.44335786020486,128.75030097052198
52,-518.4,-667.3391147931858,-369.46088520681417,294.3054648943282
53,-418.93333333333334,-536.1640509137304,-301.7026157529363,231.6492943126647
54,-498.06666666666666,-591.0977484952286,-405.0355848381047,183.83052581718366
55,-377.73333333333335,-469.80846327244177,-285.6582033942249,181.94155349696476
56,-517.2,-772.1732386117762,-262.22676138822385,503.8301565673364
57,-455.8,-620.3767493318003,-291.22325066819974,325.20561700766075
58,-439.4,-609.6562899808533,-269.1437100191466,336.4284569810744
59,-395.2,-507.5507226864953,-282.8492773135047,222.00636627508374
60,-423.4,-639.271441571238,-207.52855842876193,426.56453986081243
61,-389.53333333333336,-504.0627772326271,-275.0038894340396,226.3115453430416
62,-360.53333333333336,-433.7696084850893,-287.2970581815774,144.71575204133407
63,-363.3333333333333,-441.39563120520637,-285.27103546146026,154.25203042063626
64,-401.53333333333336,-528.1291541310084,-274.93751253565836,250.15484982084376
65,-348.53333333333336,-435.34122302016704,-261.7254436464997,171.53342401863128
66,-385.26666666666665,-478.03382840192086,-292.49950493141245,183.30901656916814
67,-317.8666666666667,-369.59478184908875,-266.1385514842446,102.21537175113254
68,-281.93333333333334,-336.63773090969454,-227.22893575697213,108.09654121303892
69,-361.1333333333333,-477.17090517152593,-245.09576149514072,229.29162411411565
70,-314.93333333333334,-360.4111403699447,-269.455526296722,89.86468840552568
71,-333.46666666666664,-454.4656744784542,-212.46765885487906,239.0954806952421
72,-330.4,-377.2518994734116,-283.54810052658837,92.57991142791182
73,-294.46666666666664,-352.3612511293235,-236.57208220400983,114.40038849972883
74,-329.06666666666666,-412.72547660038447,-245.40785673294886,165.3108049167453
75,-368.93333333333334,-560.6574005908067,-177.20926607586003,378.84904058946165
76,-410.8,-628.4485606337785,-193.15143936622152,430.0761482962446
77,-299.4,-378.53132769601007,-220.2686723039899,156.36444608669834
78,-304.1333333333333,-346.4208567453981,-261.84580992126854,83.56064996289955
79,-342.3333333333333,-466.67647298831895,-217.99019367834768,245.70352505046043
80,-315.6666666666667,-397.427185183541,-233.9061481497924,161.55975846588643
81,-331.6666666666667,-417.1863113321101,-246.1470220012233,168.98783651165218
82,-286.6666666666667,-322.2063986567356,-251.12693467659778,70.22693373786316
83,-335.6666666666667,-405.3019888572949,-266.0313444760385,137.60022609800546
84,-293.26666666666665,-332.01741560815066,-254.51591772518262,76.57194148134303
85,-310.46666666666664,-380.8303613322582,-240.1029720010751,139.03949878441819
86,-267.26666666666665,-312.23896209363335,-222.29437123969996,88.86579144355206
87,-279.4,-327.9980936141875,-230.80190638581246,96.03041184958023
88,-259.73333333333335,-298.07212983060566,-221.39453683606104,75.75791854467903
89,-253.26666666666668,-290.31358945945493,-216.21974387387843,73.20516071668415
90,-273.6666666666667,-311.1070181686571,-236.22631516467632,73.9825805323268
91,-297.26666666666665,-385.1142207208559,-209.4191126124774,173.58781319231167
92,-377.8666666666667,-557.7492423255093,-197.98409100782405,355.45011214264963
93,-257.6,-308.0518196813114,-207.14818031868867,99.69339663856044
94,-420.6,-641.9294933257252,-199.27050667427488,437.3497151403363
95,-289.73333333333335,-365.5032067217963,-213.9634599448704,149.72217233559257
96,-334.26666666666665,-510.1396767505631,-158.39365658277015,347.52716280729607
97,-265.1333333333333,-324.8443877341665,-205.42227893250015,117.98975473413877
98,-254.73333333333332,-303.37590789482596,-206.09075877184068,96.11830673128242
99,-267.46666666666664,-306.3881704159272,-228.5451629174061,76.90935501542637
100,-320.6,-384.90175570991653,-256.2982442900835,127.06103520224706
101,-328.6,-382.9676349212777,-274.23236507872235,107.4310941953027
102,-277.3333333333333,-328.3116457125896,-226.35502095407702,100.7337524809281
103,-243.06666666666666,-274.2116726650131,-211.92166066832021,61.542902831186716
104,-255.4,-300.8569032410553,-209.94309675894468,89.82338225651492
105,-235.26666666666668,-262.51338744740843,-208.01994588592493,53.83984480743689
106,-262.6666666666667,-309.8656178665649,-215.46771546676848,93.26568977329707
107,-258.3333333333333,-333.6967799793723,-182.96988668729432,148.91906825147976
108,-235.33333333333334,-268.3967339605682,-202.26993270609844,65.33367346850235
109,-260.2,-314.69511256535867,-205.7048874346413,107.68299153843503
110,-243.6,-273.66514782268666,-213.53485217731335,59.40909021353551
111,-254.4,-311.2373866065873,-197.56261339341273,112.31135294350256
112,-224.06666666666666,-253.88986514580242,-194.2434681875309,58.9309954287404
113,-249.33333333333334,-294.2433988684711,-204.42326779819555,88.7428244360573
114,-209.73333333333332,-242.75581014287982,-176.71085652378682,65.252807517293
115,-332.3333333333333,-480.4358775403542,-184.23078912631237,292.6523914513979
116,-238.46666666666667,-276.427915842538,-200.50541749079534,75.01188054049986
117,-241.93333333333334,-274.3304814035182,-209.5361852631485,64.01715047981718
118,-210.73333333333332,-245.12000723105348,-176.34665943561316,67.94847721292624
119,-243.33333333333334,-295.99951090630844,-190.6671557603582,104.06899420843634
120,-254.2,-329.3750669020875,-179.02493309791248,148.54682763357823
121,-237.93333333333334,-276.21463793744255,-199.65202872922413,75.6443138789838
