episode,mean,ci_lower,ci_upper,std
0,-2000.0,-2000.0,-2000.0,0.0
1,-2000.0,-2000.0,-2000.0,0.0
2,-2000.0,-2000.0,-2000.0,0.0
3,-2000.0,-2000.0,-2000.0,0.0
4,-2000.0,-2000.0,-2000.0,0.0
5,-2000.0,-2000.0,-2000.0,0.0
6,-1875.4666666666667,-2018.8061378588657,-1732.1271954744677,283.24050243957385
7,-1813.0666666666666,-1981.8447557961285,-1644.2885775372047,333.5075144913863
8,-1829.3333333333333,-1990.5222701763828,-1668.1443964902837,318.51125917653565
9,-1814.8666666666666,-1976.0588023829303,-1653.6745309504029,318.51758018810966
10,-1599.4,-1869.046476331593,-1329.753523668407,532.8246490794759
11,-1494.0666666666666,-1763.6189499076268,-1224.5143834257065,532.63852241042
12,-1754.9333333333334,-1929.6880165195814,-1580.1786501470854,345.31733553678157
13,-1645.0,-1840.0532547861394,-1449.9467452138606,385.42755480115846
14,-1267.0666666666666,-1516.6602126079147,-1017.4731207254185,493.19981977107636
15,-1269.2666666666667,-1550.1532275689744,-988.3801057643589,555.0351900755683
16,-1174.5333333333333,-1424.0608173824485,-925.005849284218,493.06928068533693
17,-1084.8,-1311.5539352067199,-858.04606479328,448.06847690950093
18,-995.8,-1240.6120257380253,-750.9879742619747,483.7514788952415
19,-1008.5333333333333,-1280.3935444940066,-736.67312217266,537.1990154702652
20,-760.2666666666667,-978.8615313160483,-541.671802017285,431.94605630281603
21,-913.2666666666667,-1165.1698010505302,-661.3635322828031,497.7635940439554
22,-918.2666666666667,-1170.708678833979,-665.8246544993542,498.82842296280154
23,-870.4,-1162.3262832440942,-578.4737167559058,576.8498129207175
24,-962.2,-1300.713490844506,-623.6865091554943,668.906690054749
25,-939.6,-1250.1257415599837,-629.0742584400164,613.6025640972067
26,-844.8666666666667,-1101.9301371548654,-587.8031961784679,507.9604796525896
27,-913.3333333333334,-1178.8122228739212,-647.8544437927454,524.5894479389467
28,-1077.2666666666667,-1362.7994634775357,-791.7338698557976,564.2162075737357
29,-1057.0666666666666,-1392.1830556335337,-721.9502776997995,662.1939762805324
30,-883.0,-1178.6442412720621,-587.3557587279379,584.1965422698083
31,-1037.6666666666667,-1321.9095080864117,-753.4238252469216,561.6672403557901
32,-733.4666666666667,-932.3391755759714,-534.594157757362,392.9744464409302
33,-744.0,-963.8078224227296,-524.1921775772704,434.3428753108923
34,-811.1333333333333,-1083.7391303237318,-538.5275363429348,538.6723019507212
35,-731.1333333333333,-905.0954632348768,-557.1712034317899,343.7512408058414
36,-807.2,-985.8140399388831,-628.585960061117,352.94347045006134
37,-742.0,-943.5291786714768,-540.4708213285232,398.22405753545326
38,-790.4666666666667,-1042.8014148544512,-538.1319184788822,498.61646806159763
39,-579.3333333333334,-647.0049595730354,-511.6617070936313,133.71993950874426
40,-763.0666666666667,-975.2082931365883,-550.9250401967452,419.1943807935513
41,-669.0,-867.5496231150065,-470.4503768849935,392.3364202653976
42,-833.4666666666667,-1112.933609792908,-553.9997235404252,552.2300084405249
43,-890.6,-1231.6842936242529,-549.5157063757472,673.9866269692102
44,-815.8,-1089.973865932145,-541.626134067855,541.7708248573991
45,-673.6666666666666,-858.9739914860156,-488.3593418473177,366.16948109978915
46,-964.4,-1310.3148614851154,-618.4851385148845,683.5318866007641
47,-657.1333333333333,-873.8863624022442,-440.3803042644224,428.30656725709395
48,-906.6666666666666,-1236.332719372083,-577.0006139612503,651.4240469071501
49,-626.7333333333333,-803.9930061939054,-449.47366047276125,350.26722497100536
50,-723.6666666666666,-993.7410222861131,-453.5923110472201,533.6701436488856
51,-753.4,-1069.3017287825792,-437.4982712174209,624.2255788842149
52,-543.7333333333333,-705.1413627837962,-382.3253038828705,318.9441887784688
53,-428.8666666666667,-582.8616287714682,-274.87170456186516,304.2958794039482
54,-453.26666666666665,-563.3977342441134,-343.1355990892199,217.62030134055863
55,-363.73333333333335,-426.22902036294926,-301.23764630371744,123.49222197729252
56,-430.8,-568.7525918799643,-292.8474081200357,272.59596475369915
57,-471.4,-602.3776491358566,-340.42235086414337,258.81339481049537
58,-417.06666666666666,-545.3055278228585,-288.82780551047483,253.40151714006944
59,-572.2666666666667,-859.6726540402643,-284.860679293069,567.917654437879
60,-350.6,-421.8414510851029,-279.35854891489714,140.77395592461934
61,-475.8,-700.9160434367623,-250.68395656323776,444.83198326259475
62,-396.6666666666667,-514.9260879955276,-278.4072453378058,233.6820251728594
63,-313.73333333333335,-373.85603766717725,-253.61062899948942,118.80317990506633
64,-365.53333333333336,-448.0592111972786,-283.0074554693881,163.07211765214663
65,-333.93333333333334,-388.88250159691364,-278.98416506975303,108.58021100652836
66,-319.46666666666664,-376.52024832746974,-262.41308500586354,112.7385569458037
67,-388.73333333333335,-494.1228598442376,-283.3438068224291,208.2509597150088
68,-360.53333333333336,-467.7666299113673,-253.3000367552994,211.89427132941142
69,-318.6666666666667,-392.69730014988045,-244.63603318345295,146.28541356615915
70,-362.93333333333334,-444.3336258114684,-281.5330408551983,160.84794752256624
71,-290.3333333333333,-344.062178627017,-236.60448803964965,106.16883828234263
72,-353.73333333333335,-447.82847976840213,-259.63818689826456,185.93313015406613
73,-290.6666666666667,-354.5910293787669,-226.74230395456647,126.31530214330944
74,-309.46666666666664,-404.2252948911855,-214.70803844214774,187.2441780729703
75,-265.26666666666665,-324.23671332665737,-206.29662000667594,116.52551461184609
76,-264.8666666666667,-297.82258569485634,-231.91074763847703,65.12128854854012
77,-256.1333333333333,-291.29110150755895,-220.9755651591077,69.4721686880597
78,-245.6,-274.38987298493845,-216.81012701506154,56.88913194392523
79,-266.53333333333336,-306.5518497350266,-226.5148169316401,79.07706508351346
80,-262.3333333333333,-292.64105284381327,-232.0256138228534,59.88841475796652
81,-314.2,-370.997540003067,-257.402459996933,112.2326155803205
82,-274.53333333333336,-334.7520605634469,-214.31460610321986,118.99292229185548
83,-295.2,-333.94137760643576,-256.4586223935642,76.55342361166265
84,-332.6666666666667,-411.6753159297086,-253.6580174036248,156.12203204188987
85,-293.73333333333335,-359.5321331836965,-227.9345334829702,130.01921225555688
86,-275.6,-310.93116487433974,-240.2688351256603,69.81480263287054
87,-278.26666666666665,-347.4981694732594,-209.0351638600739,136.80227418512538
88,-274.8666666666667,-332.8269790794944,-216.90635425383894,114.5302677121739
89,-275.53333333333336,-334.7897278377179,-216.27693882894877,117.09134136315214
90,-260.1333333333333,-327.64511322966234,-192.62155343700434,133.40408123025657
91,-336.8666666666667,-408.6605666357474,-265.07276669758596,141.86560149976063
92,-237.26666666666668,-272.7640008697576,-201.76933246357578,70.14315520578059
93,-215.66666666666666,-249.5129487558306,-181.82038457750272,66.88065656243381
94,-215.2,-243.89149614936258,-186.5085038506374,56.69473814502836
95,-242.66666666666666,-290.30453883359485,-195.02879449973847,94.13300283228098
96,-232.46666666666667,-281.58199382285346,-183.35133951047987,97.05247148951035
97,-255.46666666666667,-305.4189001157142,-205.51443321761909,98.70620829287058
98,-267.6666666666667,-312.89910586850664,-222.43422746482673,89.37983864136002
99,-274.93333333333334,-352.0274344217891,-197.83923224487756,152.33886204409197
100,-248.6,-324.660077849611,-172.53992215038897,150.2956198075424
101,-247.2,-319.3898034732822,-175.01019652671778,142.6479115398002
102,-338.4,-565.7306206305402,-111.06937936945968,449.20801417606066
103,-330.53333333333336,-557.4331211513952,-103.63354551527155,448.3566834068112
104,-314.46666666666664,-533.3019216729367,-95.63141166039657,432.4210705113966
105,-312.73333333333335,-536.0119258991962,-89.4547407674705,441.2011584552133
106,-235.73333333333332,-337.0712879975455,-134.39537866912113,200.24500548633472
107,-258.8666666666667,-368.95639510414185,-148.77693822919147,217.5386147075707
108,-312.53333333333336,-534.9590804238408,-90.10758624282596,439.5159256373867
109,-236.8,-309.0058845198152,-164.59411548018483,142.679687879296
110,-220.53333333333333,-251.27077002059963,-189.79589664606704,60.7375410177996
111,-242.0,-343.5099203121438,-140.49007968785622,200.58481165498716
112,-210.2,-260.36790073520893,-160.03209926479104,99.13236941920971
113,-189.8,-214.13994188251988,-165.46005811748014,48.09601508094685
114,-203.66666666666666,-228.24149698219554,-179.09183635113777,48.56015742240638
115,-221.13333333333333,-256.9378439103439,-185.32882275632278,70.75013937952505
116,-228.2,-282.815915720196,-173.58408427980396,107.92170001131993
117,-221.26666666666668,-249.5423214556923,-192.99101187764106,55.87303066377871
118,-235.6,-298.1533965028634,-173.04660349713657,123.60625658382615
119,-216.33333333333334,-264.74376095812113,-167.92290570854558,95.65958161917474
120,-196.93333333333334,-215.82853454579094,-178.03813212087573,37.337142662799224
121,-206.2,-240.9544840937428,-171.44551590625719,68.67527454137576
