episode,timestep,return,ep_length,epsilon
1,1000,-1000.0,1000,0.981
2,2000,-1000.0,1000,0.962
3,3000,-1000.0,1000,0.9430000000000001
4,4000,-1000.0,1000,0.924
5,5000,-1000.0,1000,0.905
6,6000,-1000.0,1000,0.886
7,7000,-1000.0,1000,0.867
8,8000,-1000.0,1000,0.848
9,9000,-1000.0,1000,0.829
10,10000,-1000.0,1000,0.81
11,11000,-1000.0,1000,0.791
12,12000,-1000.0,1000,0.772
13,12747,-747.0,747,0.757807
14,13399,-652.0,652,0.745419
15,14026,-627.0,627,0.733506
16,14437,-411.0,411,0.725697
17,15058,-621.0,621,0.713898
18,16058,-1000.0,1000,0.694898
19,16534,-476.0,476,0.685854
20,17070,-536.0,536,0.67567
21,17496,-426.0,426,0.667576
22,17848,-352.0,352,0.660888
23,18480,-632.0,632,0.64888
24,18848,-368.0,368,0.641888
25,19305,-457.0,457,0.633205
26,19707,-402.0,402,0.625567
27,20011,-304.0,304,0.619791
28,20716,-705.0,705,0.6063959999999999
29,21330,-614.0,614,0.59473
30,21979,-649.0,649,0.582399
31,22585,-606.0,606,0.5708850000000001
32,23250,-665.0,665,0.55825
33,23664,-414.0,414,0.550384
34,24255,-591.0,591,0.539155
35,24851,-596.0,596,0.5278309999999999
36,25464,-613.0,613,0.5161840000000001
37,25812,-348.0,348,0.5095719999999999
38,26217,-405.0,405,0.501877
39,26578,-361.0,361,0.49501799999999996
40,26850,-272.0,272,0.48985
41,27187,-337.0,337,0.48344700000000007
42,27440,-253.0,253,0.47864000000000007
43,27822,-382.0,382,0.47138199999999997
44,28142,-320.0,320,0.465302
45,28400,-258.0,258,0.46040000000000003
46,28645,-245.0,245,0.45574500000000007
47,28963,-318.0,318,0.4497030000000001
48,29331,-368.0,368,0.44271099999999997
49,29532,-201.0,201,0.43889199999999995
50,29705,-173.0,173,0.435605
51,29981,-276.0,276,0.430361
52,30225,-244.0,244,0.425725
53,30601,-376.0,376,0.418581
54,30777,-176.0,176,0.4152370000000001
55,31013,-236.0,236,0.41075300000000003
56,31259,-246.0,246,0.4060790000000001
57,31509,-250.0,250,0.40132900000000005
58,31807,-298.0,298,0.395667
59,32080,-273.0,273,0.39048000000000005
60,32331,-251.0,251,0.385711
61,32641,-310.0,310,0.3798210000000001
62,32986,-345.0,345,0.3732660000000001
63,33267,-281.0,281,0.367927
64,33515,-248.0,248,0.36321500000000007
65,33761,-246.0,246,0.358541
66,33922,-161.0,161,0.35548199999999996
67,34074,-152.0,152,0.3525940000000001
68,34295,-221.0,221,0.3483950000000001
69,34454,-159.0,159,0.34537399999999996
70,34661,-207.0,207,0.3414410000000001
71,34893,-232.0,232,0.337033
72,35185,-292.0,292,0.33148500000000003
73,35384,-199.0,199,0.3277040000000001
74,35593,-209.0,209,0.32373299999999994
75,35827,-234.0,234,0.3192870000000001
76,35995,-168.0,168,0.316095
77,36232,-237.0,237,0.3115920000000001
78,36541,-309.0,309,0.305721
79,36766,-225.0,225,0.3014460000000001
