episode,timestep,return
1,2000,-2000.0
2,4000,-2000.0
3,6000,-2000.0
4,7371,-1371.0
5,9371,-2000.0
6,11371,-2000.0
7,13171,-1800.0
8,13836,-665.0
9,14703,-867.0
10,15658,-955.0
11,16162,-504.0
12,16871,-709.0
13,17342,-471.0
14,17714,-372.0
15,18069,-355.0
16,18595,-526.0
17,19483,-888.0
18,20065,-582.0
19,20415,-350.0
20,20949,-534.0
21,21479,-530.0
22,21966,-487.0
23,22555,-589.0
24,22955,-400.0
25,23340,-385.0
26,23992,-652.0
27,24470,-478.0
28,24861,-391.0
29,25180,-319.0
30,25578,-398.0
31,26019,-441.0
32,26513,-494.0
33,26912,-399.0
34,27345,-433.0
35,27798,-453.0
36,28294,-496.0
37,28669,-375.0
38,29221,-552.0
39,29828,-607.0
40,30156,-328.0
41,30396,-240.0
42,30630,-234.0
43,31120,-490.0
44,31629,-509.0
45,31953,-324.0
46,32298,-345.0
47,32478,-180.0
48,32881,-403.0
49,33129,-248.0
50,33360,-231.0
51,33690,-330.0
52,33857,-167.0
53,34181,-324.0
54,34413,-232.0
55,34574,-161.0
56,34744,-170.0
57,34984,-240.0
58,35143,-159.0
59,35309,-166.0
60,35644,-335.0
61,35886,-242.0
62,36054,-168.0
63,36291,-237.0
64,36454,-163.0
65,36621,-167.0
66,36780,-159.0
67,36944,-164.0
68,37226,-282.0
69,37391,-165.0
70,37635,-244.0
71,37846,-211.0
72,38078,-232.0
73,38264,-186.0
74,38431,-167.0
75,38589,-158.0
76,38750,-161.0
77,38914,-164.0
78,39141,-227.0
79,39301,-160.0
80,39467,-166.0
81,39737,-270.0
82,39914,-177.0
83,40075,-161.0
84,40312,-237.0
85,40471,-159.0
86,40639,-168.0
87,40799,-160.0
88,40960,-161.0
89,41119,-159.0
90,41373,-254.0
91,41529,-156.0
92,41699,-170.0
93,41933,-234.0
94,42096,-163.0
95,42328,-232.0
96,42482,-154.0
97,42581,-99.0
98,42743,-162.0
99,42934,-191.0
100,43176,-242.0
101,43333,-157.0
102,43504,-171.0
103,43669,-165.0
104,43827,-158.0
105,43987,-160.0
106,44148,-161.0
107,44303,-155.0
108,44465,-162.0
109,44621,-156.0
110,44783,-162.0
111,44940,-157.0
112,45099,-159.0
113,45258,-159.0
114,45427,-169.0
115,45575,-148.0
116,45748,-173.0
117,45911,-163.0
118,46013,-102.0
119,46199,-186.0
120,46369,-170.0
121,46526,-157.0
122,46624,-98.0
123,46799,-175.0
124,46956,-157.0
125,47116,-160.0
126,47296,-180.0
127,47452,-156.0
128,47620,-168.0
129,47719,-99.0
130,47891,-172.0
131,48050,-159.0
132,48204,-154.0
133,48363,-159.0
134,48497,-134.0
135,48583,-86.0
136,48671,-88.0
137,48832,-161.0
138,48966,-134.0
139,49074,-108.0
140,49178,-104.0
141,49336,-158.0
142,49494,-158.0
143,49595,-101.0
144,49685,-90.0
145,49842,-157.0
146,49935,-93.0
147,50115,-180.0
148,50277,-162.0
149,50421,-144.0
150,50586,-165.0
151,50744,-158.0
152,50852,-108.0
153,50984,-132.0
154,51121,-137.0
155,51261,-140.0
156,51444,-183.0
157,51556,-112.0
158,51667,-111.0
159,51818,-151.0
160,51929,-111.0
161,52038,-109.0
162,52150,-112.0
163,52244,-94.0
164,52360,-116.0
165,52450,-90.0
166,52578,-128.0
167,52753,-175.0
168,52903,-150.0
169,53055,-152.0
170,53198,-143.0
171,53284,-86.0
172,53443,-159.0
173,53602,-159.0
174,53698,-96.0
175,53807,-109.0
176,53935,-128.0
177,54033,-98.0
178,54203,-170.0
179,54355,-152.0
180,54442,-87.0
181,54598,-156.0
182,54718,-120.0
183,54837,-119.0
184,55016,-179.0
185,55129,-113.0
186,55295,-166.0
187,55406,-111.0
188,55505,-99.0
189,55640,-135.0
190,55749,-109.0
191,55854,-105.0
192,55964,-110.0
193,56073,-109.0
194,56159,-86.0
195,56333,-174.0
196,56448,-115.0
197,56553,-105.0
198,56659,-106.0
199,56774,-115.0
200,56882,-108.0
201,56994,-112.0
202,57082,-88.0
203,57237,-155.0
204,57343,-106.0
205,57444,-101.0
206,57552,-108.0
207,57656,-104.0
208,57822,-166.0
209,57931,-109.0
210,58039,-108.0
211,58194,-155.0
212,58300,-106.0
213,58410,-110.0
214,58523,-113.0
215,58631,-108.0
216,58752,-121.0
217,58863,-111.0
218,58955,-92.0
219,59069,-114.0
220,59240,-171.0
221,59354,-114.0
222,59517,-163.0
223,59626,-109.0
224,59731,-105.0
225,59842,-111.0
226,60016,-174.0
227,60126,-110.0
228,60279,-153.0
229,60391,-112.0
230,60478,-87.0
231,60589,-111.0
232,60702,-113.0
233,60811,-109.0
234,60920,-109.0
235,61006,-86.0
236,61120,-114.0
237,61213,-93.0
238,61334,-121.0
239,61441,-107.0
240,61537,-96.0
241,61646,-109.0
242,61762,-116.0
243,61951,-189.0
244,62302,-351.0
245,62413,-111.0
246,62594,-181.0
247,62692,-98.0
248,62802,-110.0
249,62924,-122.0
250,63020,-96.0
251,63127,-107.0
252,63252,-125.0
253,63368,-116.0
254,63493,-125.0
255,63614,-121.0
256,63724,-110.0
257,63830,-106.0
258,63936,-106.0
259,64042,-106.0
260,64134,-92.0
261,64240,-106.0
262,64329,-89.0
263,64440,-111.0
264,64548,-108.0
265,64670,-122.0
266,64778,-108.0
267,64888,-110.0
268,65002,-114.0
269,65108,-106.0
270,65234,-126.0
271,65360,-126.0
272,65468,-108.0
273,65605,-137.0
274,65734,-129.0
275,65857,-123.0
276,65987,-130.0
277,66127,-140.0
278,66242,-115.0
279,66361,-119.0
280,66481,-120.0
281,66592,-111.0
282,66711,-119.0
283,66828,-117.0
284,66940,-112.0
285,67051,-111.0
286,67194,-143.0
287,67306,-112.0
288,67430,-124.0
289,67550,-120.0
290,67659,-109.0
291,67781,-122.0
292,67907,-126.0
293,68035,-128.0
294,68146,-111.0
295,68264,-118.0
296,68375,-111.0
297,68487,-112.0
298,68596,-109.0
299,68718,-122.0
300,68831,-113.0
301,68945,-114.0
302,69055,-110.0
303,69174,-119.0
304,69291,-117.0
305,69404,-113.0
306,69513,-109.0
307,69627,-114.0
308,69739,-112.0
309,69851,-112.0
