episode,timestep,return,ep_length,epsilon
1,2000,-2000.0,2000,0.981
2,4000,-2000.0,2000,0.962
3,6000,-2000.0,2000,0.9430000000000001
4,8000,-2000.0,2000,0.924
5,10000,-2000.0,2000,0.905
6,11463,-1463.0,1463,0.8911015
7,13463,-2000.0,2000,0.8721015
8,15441,-1978.0,1978,0.8533105000000001
9,16179,-738.0,738,0.8462995
10,16781,-602.0,602,0.8405805
11,17966,-1185.0,1185,0.829323
12,19232,-1266.0,1266,0.817296
13,20285,-1053.0,1053,0.8072925
14,21654,-1369.0,1369,0.794287
15,22302,-648.0,648,0.788131
16,22969,-667.0,667,0.7817945
17,23985,-1016.0,1016,0.7721425
18,24670,-685.0,685,0.7656350000000001
19,26422,-1752.0,1752,0.748991
20,27169,-747.0,747,0.7418945
21,29169,-2000.0,2000,0.7228945
22,31169,-2000.0,2000,0.7038945
23,33169,-2000.0,2000,0.6848945
24,35169,-2000.0,2000,0.6658945000000001
25,37169,-2000.0,2000,0.6468944999999999
26,38025,-856.0,856,0.6387625000000001
27,38465,-440.0,440,0.6345825
28,39191,-726.0,726,0.6276855000000001
29,40112,-921.0,921,0.618936
30,41019,-907.0,907,0.6103195
31,41756,-737.0,737,0.603318
32,42883,-1127.0,1127,0.5926115000000001
33,43572,-689.0,689,0.586066
34,44080,-508.0,508,0.58124
35,46080,-2000.0,2000,0.5622400000000001
36,48080,-2000.0,2000,0.54324
37,50080,-2000.0,2000,0.52424
38,51111,-1031.0,1031,0.5144455000000001
39,53111,-2000.0,2000,0.4954455000000001
40,55111,-2000.0,2000,0.4764455000000001
41,57111,-2000.0,2000,0.45744550000000006
42,58682,-1571.0,1571,0.44252100000000005
43,59206,-524.0,524,0.437543
44,61206,-2000.0,2000,0.418543
45,62261,-1055.0,1055,0.40852050000000006
46,63205,-944.0,944,0.3995525
47,64030,-825.0,825,0.39171500000000004
48,64641,-611.0,611,0.38591050000000005
49,64836,-195.0,195,0.384058
50,65457,-621.0,621,0.37815850000000006
51,65774,-317.0,317,0.375147
52,66011,-237.0,237,0.37289550000000005
53,66351,-340.0,340,0.3696655
54,66602,-251.0,251,0.3672810000000001
55,66971,-369.0,369,0.36377550000000003
56,67228,-257.0,257,0.36133400000000004
57,67508,-280.0,280,0.35867400000000005
58,67955,-447.0,447,0.3544275
59,68231,-276.0,276,0.3518055000000001
60,68487,-256.0,256,0.3493735
61,68732,-245.0,245,0.34704599999999997
62,68978,-246.0,246,0.34470900000000004
63,69236,-258.0,258,0.34225800000000006
64,69585,-349.0,349,0.33894250000000004
65,69752,-167.0,167,0.337356
66,69992,-240.0,240,0.33507600000000004
67,70245,-253.0,253,0.33267250000000004
68,70494,-249.0,249,0.330307
69,70662,-168.0,168,0.328711
70,70824,-162.0,162,0.327172
71,71084,-260.0,260,0.32470200000000005
72,71313,-229.0,229,0.32252649999999994
73,71473,-160.0,160,0.3210065000000001
74,71636,-163.0,163,0.319458
75,71935,-299.0,299,0.3166175
76,72181,-246.0,246,0.3142805000000001
77,72405,-224.0,224,0.31215250000000005
78,72663,-258.0,258,0.3097015000000001
79,72993,-330.0,330,0.3065665000000001
80,73318,-325.0,325,0.30347899999999994
81,73483,-165.0,165,0.3019115
82,73662,-179.0,179,0.300211
83,73849,-187.0,187,0.29843450000000005
84,74098,-249.0,249,0.296069
85,74456,-358.0,358,0.29266800000000004
86,74633,-177.0,177,0.29098650000000004
87,74793,-160.0,160,0.28946650000000007
88,74975,-182.0,182,0.2877375
89,75139,-164.0,164,0.28617950000000003
90,75464,-325.0,325,0.283092
91,75730,-266.0,266,0.28056500000000006
92,75902,-172.0,172,0.27893100000000004
93,76071,-169.0,169,0.2773255
94,76256,-185.0,185,0.27556800000000004
95,76430,-174.0,174,0.273915
96,76656,-226.0,226,0.271768
97,76878,-222.0,222,0.269659
98,77054,-176.0,176,0.2679870000000001
99,77286,-232.0,232,0.265783
100,77600,-314.0,314,0.26280000000000003
101,77771,-171.0,171,0.2611755
102,77991,-220.0,220,0.2590855000000001
103,78235,-244.0,244,0.25676750000000004
104,78442,-207.0,207,0.25480100000000006
105,78719,-277.0,277,0.25216950000000005
106,78891,-172.0,172,0.2505355
107,79112,-221.0,221,0.248436
108,79374,-262.0,262,0.24594700000000003
109,79646,-272.0,272,0.2433630000000001
110,79970,-324.0,324,0.24028500000000008
111,80244,-274.0,274,0.23768199999999995
112,80559,-315.0,315,0.2346895
113,80767,-208.0,208,0.23271350000000002
114,80937,-170.0,170,0.23109849999999998
115,81211,-274.0,274,0.22849550000000007
116,81465,-254.0,254,0.22608250000000008
117,81698,-233.0,233,0.22386899999999998
118,81868,-170.0,170,0.22225400000000006
119,82117,-249.0,249,0.21988850000000004
120,82284,-167.0,167,0.218302
121,82775,-491.0,491,0.21363750000000004
122,82974,-199.0,199,0.21174700000000002
123,83319,-345.0,345,0.20846950000000009
124,83485,-166.0,166,0.20689250000000003
125,83664,-179.0,179,0.20519200000000004
126,83839,-175.0,175,0.20352950000000003
127,83996,-157.0,157,0.20203800000000005
128,84255,-259.0,259,0.19957749999999996
129,84459,-204.0,204,0.19763950000000008
130,84627,-168.0,168,0.19604350000000004
131,84876,-249.0,249,0.19367800000000013
132,85100,-224.0,224,0.1915500000000001
133,85277,-177.0,177,0.1898685
134,85463,-186.0,186,0.18810150000000003
135,85635,-172.0,172,0.18646750000000012
136,86271,-636.0,636,0.18042550000000002
