episode,timestep,return,ep_length,epsilon
1,2000,-2000.0,2000,0.981
2,4000,-2000.0,2000,0.962
3,6000,-2000.0,2000,0.9430000000000001
4,8000,-2000.0,2000,0.924
5,10000,-2000.0,2000,0.905
6,12000,-2000.0,2000,0.886
7,14000,-2000.0,2000,0.867
8,16000,-2000.0,2000,0.848
9,18000,-2000.0,2000,0.829
10,20000,-2000.0,2000,0.81
11,22000,-2000.0,2000,0.791
12,24000,-2000.0,2000,0.772
13,26000,-2000.0,2000,0.753
14,28000,-2000.0,2000,0.734
15,30000,-2000.0,2000,0.7150000000000001
16,32000,-2000.0,2000,0.696
17,34000,-2000.0,2000,0.677
18,36000,-2000.0,2000,0.658
19,38000,-2000.0,2000,0.639
20,38892,-892.0,892,0.630526
21,40892,-2000.0,2000,0.611526
22,42892,-2000.0,2000,0.592526
23,44892,-2000.0,2000,0.573526
24,46892,-2000.0,2000,0.5545260000000001
25,48046,-1154.0,1154,0.543563
26,49830,-1784.0,1784,0.526615
27,51830,-2000.0,2000,0.507615
28,53830,-2000.0,2000,0.488615
29,55830,-2000.0,2000,0.469615
30,57696,-1866.0,1866,0.45188799999999996
31,58764,-1068.0,1068,0.44174199999999997
32,59782,-1018.0,1018,0.432071
33,60415,-633.0,633,0.4260575000000001
34,62415,-2000.0,2000,0.40705750000000007
35,63420,-1005.0,1005,0.39751000000000003
36,65420,-2000.0,2000,0.37851
37,67089,-1669.0,1669,0.3626545
38,68518,-1429.0,1429,0.34907900000000003
39,69333,-815.0,815,0.34133650000000004
40,70578,-1245.0,1245,0.32950900000000005
41,70970,-392.0,392,0.325785
42,71459,-489.0,489,0.32113950000000013
43,71825,-366.0,366,0.31766249999999996
44,72145,-320.0,320,0.3146225
45,72524,-379.0,379,0.311022
46,72808,-284.0,284,0.30832400000000004
47,73128,-320.0,320,0.305284
48,73586,-458.0,458,0.3009330000000001
49,73961,-375.0,375,0.2973705000000001
50,74384,-423.0,423,0.29335200000000006
51,74763,-379.0,379,0.28975150000000005
52,75046,-283.0,283,0.28706300000000007
53,75426,-380.0,380,0.28345299999999995
54,75821,-395.0,395,0.2797005
55,76076,-255.0,255,0.277278
56,76440,-364.0,364,0.27382000000000006
57,76786,-346.0,346,0.270533
58,77091,-305.0,305,0.2676355
59,77535,-444.0,444,0.2634175000000001
60,77942,-407.0,407,0.2595510000000001
61,78272,-330.0,330,0.2564160000000001
62,78917,-645.0,645,0.2502885
63,79227,-310.0,310,0.24734350000000005
64,79558,-331.0,331,0.24419900000000005
65,79870,-312.0,312,0.2412350000000001
66,80238,-368.0,368,0.23773900000000003
67,80514,-276.0,276,0.23511700000000002
68,80793,-279.0,279,0.23246650000000002
69,80984,-191.0,191,0.23065200000000008
70,81190,-206.0,206,0.2286950000000001
71,81406,-216.0,216,0.22664300000000004
72,81570,-164.0,164,0.2250850000000001
73,81776,-206.0,206,0.223128
74,81986,-210.0,210,0.22113300000000002
75,82232,-246.0,246,0.218796
76,82586,-354.0,354,0.21543299999999999
77,82819,-233.0,233,0.2132195
78,83115,-296.0,296,0.21040749999999997
79,83357,-242.0,242,0.20810850000000003
80,83750,-393.0,393,0.20437499999999997
81,83992,-242.0,242,0.20207600000000003
82,84275,-283.0,283,0.19938750000000005
83,84532,-257.0,257,0.19694600000000007
84,84785,-253.0,253,0.19454250000000006
85,85010,-225.0,225,0.19240500000000005
86,85244,-234.0,234,0.19018200000000007
87,85526,-282.0,282,0.18750299999999998
88,85740,-214.0,214,0.18547000000000002
89,86013,-273.0,273,0.1828765000000001
90,86175,-162.0,162,0.18133750000000004
91,86408,-233.0,233,0.17912400000000006
92,86636,-228.0,228,0.17695800000000006
93,86850,-214.0,214,0.174925
94,87077,-227.0,227,0.1727685
95,87275,-198.0,198,0.17088749999999997
96,87457,-182.0,182,0.1691585000000001
97,87725,-268.0,268,0.16661250000000005
98,87954,-229.0,229,0.16443700000000006
99,88198,-244.0,244,0.162119
100,88382,-184.0,184,0.16037100000000004
101,88529,-147.0,147,0.15897450000000002
102,88772,-243.0,243,0.15666600000000008
103,88967,-195.0,195,0.15481350000000005
104,89143,-176.0,176,0.15314150000000004
105,89338,-195.0,195,0.15128900000000012
106,89629,-291.0,291,0.14852450000000006
107,89871,-242.0,242,0.1462255
108,90105,-234.0,234,0.14400250000000003
109,90336,-231.0,231,0.14180800000000005
110,90516,-180.0,180,0.14009800000000006
111,90719,-203.0,203,0.13816949999999995
112,90941,-222.0,222,0.13606050000000003
113,91094,-153.0,153,0.13460700000000003
114,91303,-209.0,209,0.13262150000000006
115,91455,-152.0,152,0.13117750000000006
116,91700,-245.0,245,0.12885000000000002
117,91919,-219.0,219,0.1267695000000001
118,92149,-230.0,230,0.12458449999999999
119,92339,-190.0,190,0.12277950000000004
120,92495,-156.0,156,0.12129749999999995
121,92722,-227.0,227,0.11914100000000005
122,92867,-145.0,145,0.11776350000000002
123,93019,-152.0,152,0.11631950000000013
124,93280,-261.0,261,0.11384000000000005
125,93428,-148.0,148,0.11243400000000003
126,93588,-160.0,160,0.11091399999999996
127,93790,-202.0,202,0.10899500000000006
128,94063,-273.0,273,0.10640150000000004
129,94320,-257.0,257,0.10396000000000005
130,94469,-149.0,149,0.10254450000000004
131,94681,-212.0,212,0.10053049999999997
132,94980,-299.0,299,0.09769000000000005
133,95291,-311.0,311,0.09473549999999997
134,95440,-149.0,149,0.09332000000000007
