step,return_Ra,return_Rb,return_Rc
0,77.05,0.7,-425.25
10000,127.4,0.95,-189.0
20000,106.5,0.4,-774.75
30000,100.8,0.3,-800.8
40000,97.1,0.45,-730.45
50000,50.5,0.55,-702.45
60000,230.8,0.4,-610.65
70000,347.35,0.5,-325.45
80000,295.65,0.5,-269.05
90000,424.2,0.85,-175.9
100000,470.0,0.8,-224.8
110000,728.2,0.95,-277.55
120000,533.35,0.9,-172.7
130000,765.55,0.85,-172.9
140000,772.45,0.9,-126.3
150000,775.9,0.8,-122.85
160000,837.85,1.0,-132.5
170000,833.05,0.9,-176.0
180000,686.6,0.85,-124.0
190000,833.35,0.9,-119.05
200000,925.65,0.85,-71.85
210000,835.3,0.8,-21.4
220000,930.75,0.95,-173.15
230000,880.75,0.95,-19.05
240000,782.65,0.95,-22.65
250000,880.4,0.95,-70.25
