step,return_Ra,return_Rb,return_Rc
0,72.8,0.95,-381.8
10000,70.65,0.75,-442.9
20000,69.8,0.65,-540.6
30000,58.25,0.65,-727.55
40000,34.15,0.2,-868.1
50000,104.7,0.5,-583.4
60000,225.0,0.25,-557.25
70000,118.8,0.45,-606.35
80000,74.5,0.6,-601.45
90000,138.65,0.55,-465.75
100000,298.55,0.6,-480.3
110000,324.25,0.75,-295.35
120000,316.4,0.7,-182.8
130000,452.75,0.95,-228.55
140000,692.75,0.75,-126.35
150000,683.0,0.85,-178.85
160000,875.4,0.95,-66.0
170000,895.65,0.95,-19.85
180000,919.75,1.0,-16.3
190000,838.15,1.0,-18.9
200000,981.6,1.0,-17.3
210000,981.95,1.0,-15.25
220000,921.4,1.0,-19.15
230000,837.35,1.0,-15.55
240000,929.5,1.0,-15.55
250000,896.0,1.0,-13.6
