step,return_Ra,return_Rb,return_Rc
0,53.5,0.5,-417.6
10000,79.2,1.0,-219.35
20000,124.75,0.75,-583.35
30000,64.15,0.55,-434.9
40000,36.55,0.8,-196.0
50000,111.4,0.8,-340.2
60000,97.15,0.65,-390.6
70000,73.85,0.7,-315.4
80000,124.25,0.7,-473.25
90000,115.35,0.8,-440.25
100000,216.95,0.75,-160.2
110000,244.95,1.0,-61.0
120000,377.75,0.75,-111.9
130000,458.8,1.0,-138.9
140000,331.3,0.9,-178.3
150000,401.05,0.95,-86.45
160000,602.4,1.0,-23.8
170000,845.9,1.0,-123.0
180000,886.7,0.95,-27.6
190000,919.5,1.0,-24.95
200000,796.85,1.0,-25.55
210000,811.1,1.0,-16.85
220000,882.45,1.0,-16.4
230000,983.0,1.0,-20.1
240000,919.25,1.0,-24.35
250000,879.5,1.0,-19.4
