episode,mean,ci_lower,ci_upper,std_returns
0,-2000.0,-2000.0,-2000.0,0.0
1,-2000.0,-2000.0,-2000.0,0.0
2,-2000.0,-2000.0,-2000.0,0.0
3,-2000.0,-2000.0,-2000.0,0.0
4,-1962.6666666666667,-2033.3588227405223,-1891.9745105928112,139.68854243956042
5,-2000.0,-2000.0,-2000.0,0.0
6,-1987.8666666666666,-2010.8416173906696,-1964.8917159426635,45.39877629285715
7,-1863.7333333333333,-2015.5582690322176,-1711.908397634449,300.0078813779546
8,-1925.2666666666667,-2037.8498532521783,-1812.683480081155,222.46571770849442
9,-1788.8666666666666,-1970.0164664871263,-1607.7168668462068,357.9541621803304
10,-1699.0666666666666,-1905.3740207392125,-1492.7593125941207,407.66578904239145
11,-1657.8,-1899.149164716829,-1416.4508352831708,476.90882427007637
12,-1707.3333333333333,-1949.8256490927618,-1464.8410175739048,479.1677043467025
13,-1586.4,-1848.5238340170963,-1324.2761659829039,517.9598182613526
14,-1670.6666666666667,-1887.502924583232,-1453.8304087501015,428.47102845142547
15,-1470.7333333333333,-1766.0473696622205,-1175.4192970044462,583.5440533689142
16,-1658.4666666666667,-1926.3032379407955,-1390.630095392538,529.2482551275493
17,-1466.8666666666666,-1755.2431668124411,-1178.490166520892,569.8353992357987
18,-1319.7333333333333,-1608.541516891543,-1030.9251497751236,570.6884108006944
19,-1410.2,-1725.0756087589016,-1095.3243912410985,622.1979534949736
20,-1443.5333333333333,-1754.0546798514704,-1133.0119868151962,613.5938794421672
21,-1255.2666666666667,-1551.6735938123902,-958.859739520943,585.7036186407669
22,-1254.4666666666667,-1581.6515052584418,-927.2818280748916,646.521138264034
23,-1202.0,-1500.9316367956617,-903.0683632043384,590.6924749816947
24,-1223.6666666666667,-1554.6616942045662,-892.6716391287673,654.0501170059948
25,-1137.6666666666667,-1494.6001526418136,-780.7331806915199,705.304819839542
26,-1195.3333333333333,-1535.960340145009,-854.7063265216574,673.0830227806638
27,-983.4666666666667,-1306.9927877620005,-659.9405455713329,639.2914689108734
28,-1182.1333333333334,-1529.6642154192814,-834.6024512473855,686.7251625569642
29,-1059.6666666666667,-1402.345756841803,-716.9875764915304,677.1379639499046
30,-1116.2666666666667,-1487.4842720243946,-745.0490613089387,733.5304098823866
31,-1110.4666666666667,-1484.2798556496923,-736.6534776836411,738.6593140428288
32,-1064.6666666666667,-1403.3415426126646,-725.9917907206689,669.2255889376084
33,-1026.5333333333333,-1354.7023410620632,-698.3643256046033,648.4658682014206
34,-999.7333333333333,-1345.4231792980095,-654.0434873686572,683.0872532521416
35,-1004.7333333333333,-1363.9817217091713,-645.4849449574953,709.8790945568751
36,-987.9333333333333,-1348.2135111893601,-627.6531554773064,711.9179228597135
37,-932.2,-1266.5986042118664,-597.8013957881337,660.7756250548794
38,-885.4,-1228.634935363585,-542.1650646364149,678.2363206631348
39,-915.1333333333333,-1247.9236524204482,-582.3430142462184,657.5976344915551
40,-883.8,-1206.4172013478374,-561.1827986521624,637.4954326633774
41,-640.2666666666667,-888.1438107297272,-392.38952260360617,489.80818921514793
42,-776.1333333333333,-1045.4474369337643,-506.81922973290233,532.1678766036981
43,-801.7333333333333,-1086.947118568926,-516.5195480977407,563.5858369011376
44,-505.0,-611.6869128118971,-398.31308718810294,210.81461049936743
45,-702.1333333333333,-982.9731707573105,-421.2934959093561,554.9428639258481
46,-537.5333333333333,-750.2790415576862,-324.7876251089804,420.388053535725
47,-570.4666666666667,-792.1134537649519,-348.81987956838145,437.97669141430606
48,-566.9333333333333,-792.3341640435577,-341.5325026231088,445.3947263071513
49,-662.6,-925.0517855620553,-400.14821443794466,518.607854420531
50,-549.1333333333333,-763.1605363185129,-335.1061303481538,422.9203024474259
51,-461.06666666666666,-625.2004850885511,-296.93284824478224,324.3303802537708
52,-515.0,-686.1777220811425,-343.8222779188574,338.24921778672797
53,-471.46666666666664,-640.8735551265497,-302.05977820678356,334.750029458135
54,-561.4666666666667,-794.7437310855278,-328.1896022478056,460.9582579318387
55,-399.26666666666665,-513.1098778319127,-285.42345550142056,224.95554128661857
56,-349.93333333333334,-415.7925653527898,-284.0741013138769,130.13862694151274
57,-393.26666666666665,-446.00761390854285,-340.52571942479045,104.21673996479112
58,-323.2,-353.2500380802125,-293.1499619197875,59.37923318242947
59,-377.4,-433.41739587584476,-321.3826041241552,110.69104149237492
60,-307.53333333333336,-337.44593678430056,-277.62072988236616,59.107660718011466
61,-427.0,-556.419644162357,-297.58035583764297,255.7347584249483
62,-369.93333333333334,-448.3051187749303,-291.5615478917364,154.86358154481928
63,-342.06666666666666,-406.24288312289787,-277.89045021043546,126.81296814162536
64,-290.46666666666664,-335.8920333036428,-245.04130002969052,89.76106555121152
65,-375.4,-436.33125514180347,-314.4687448581965,120.4008859325102
66,-286.6,-324.11603614219155,-249.0839638578085,74.13213428286907
67,-335.46666666666664,-389.3130244047649,-281.62030892856836,106.40104427223551
68,-342.6,-414.6903051259707,-270.5096948740293,142.45130162035494
69,-318.8,-366.109706809491,-271.490293190509,93.48454417709912
70,-289.6,-330.0859232908317,-249.1140767091683,80.00066666388891
71,-317.73333333333335,-370.7368188662399,-264.7298478004268,104.73551875504742
72,-292.4,-336.518841012278,-248.28115898772194,87.17935535434981
73,-335.0,-408.40234163991107,-261.59765836008893,145.04390140000143
74,-305.8,-357.7183245338291,-253.88167546617092,102.5912276951592
75,-380.6666666666667,-523.3209988769797,-238.0123344563536,281.88665965045044
76,-306.1333333333333,-361.4770659293487,-250.7896007373179,109.35987482720628
77,-344.8666666666667,-430.1079891334227,-259.62534419991067,168.43786853185824
78,-514.1333333333333,-743.7989387607154,-284.4677279059513,453.82197194739507
79,-375.26666666666665,-485.41943650712926,-265.11389682620404,217.66318527078073
80,-441.06666666666666,-656.8747196015048,-225.2586137318285,426.43928316024335
81,-388.1333333333333,-500.68199799935104,-275.5846686673156,222.39750198437233
82,-376.46666666666664,-503.857066213769,-249.0762671195643,251.72494689420213
83,-382.06666666666666,-455.86788170915867,-308.26545162417466,145.83207999461422
84,-449.6666666666667,-668.7331166455951,-230.60021668773823,432.8779145312092
85,-411.53333333333336,-568.7614299738982,-254.30523669276846,310.6845917575501
86,-461.4,-625.8588128939549,-296.94118710604505,324.9725732016986
87,-437.3333333333333,-608.8128775948811,-265.8537890717855,338.84562201031247
88,-485.1333333333333,-786.7305048819135,-183.53616178475312,595.9596034035268
89,-495.1333333333333,-737.6924726418815,-252.57419402478513,479.29974847572043
90,-465.53333333333336,-702.9922288637981,-228.07443780286866,469.2216060195391
91,-499.46666666666664,-799.9487439962902,-198.98458933704302,593.756163944613
92,-443.2,-627.2748968030857,-259.1251031969143,363.73418865979585
93,-472.46666666666664,-689.6127200569887,-255.32061327634463,429.0831879976448
94,-298.8666666666667,-368.6091028721899,-229.12423046114344,137.81188466730856
95,-310.6666666666667,-393.4069763734255,-227.92635695990788,163.4958375277147
96,-274.4,-338.75881844644306,-210.0411815535569,127.17379184931671
97,-347.6666666666667,-420.97722688015034,-274.35610645318303,144.86254020814198
98,-315.46666666666664,-373.78671956914735,-257.14661376418593,115.24111920471597
99,-326.6,-396.8140467162139,-256.38595328378614,138.74379265394182
100,-275.1333333333333,-324.1933567773343,-226.07330988933234,96.94319069549043
101,-256.06666666666666,-299.5916006135606,-212.5417327197727,86.00578791892762
102,-359.26666666666665,-480.86903836673457,-237.66429496659873,240.2877349253506
103,-294.06666666666666,-404.26329302949205,-183.87004030384125,217.7498462813592
104,-288.4,-341.7548337728957,-235.04516622710426,105.4297870622909
105,-283.0,-331.4242980331156,-234.57570196688442,95.68698971124549
106,-339.53333333333336,-471.94153163562606,-207.12513503104066,261.6401770031167
107,-305.1333333333333,-422.80167633883013,-187.46499032783652,232.51404736536287
108,-250.8,-299.26877408714927,-202.33122591285075,95.77487492378502
109,-302.8666666666667,-427.86172886199824,-177.87160447133508,246.99173175544877
110,-366.46666666666664,-527.2286090891101,-205.70472424422317,317.66751311534654
111,-392.26666666666665,-620.6299455817743,-163.903387751559,451.24855924669964
112,-381.8,-626.9285213836475,-136.67147861635252,484.37687806087524
113,-390.73333333333335,-621.5441898919096,-159.92247677475706,456.0850018240995
114,-325.8,-554.0696329153068,-97.5303670846933,451.0635136356446
115,-344.46666666666664,-573.7601868345785,-115.17314649875482,453.08672704265155
116,-239.66666666666666,-309.4423404070608,-169.89099292627253,137.87756243211666
117,-256.26666666666665,-329.1487961115094,-183.3845372218239,144.01595590612715
118,-211.66666666666666,-240.27560542001075,-183.05772791332257,56.53160374712735
119,-226.33333333333334,-266.9526662527058,-185.7140004139609,80.26428567897153
