episode,mean,ci_lower,ci_upper,std
0,-2000.0,-2000.0,-2000.0,0.0
1,-2000.0,-2000.0,-2000.0,0.0
2,-2000.0,-2000.0,-2000.0,0.0
3,-2000.0,-2000.0,-2000.0,0.0
4,-1964.2666666666667,-2010.4156718608722,-1918.1176614724611,91.19098395979483
5,-2000.0,-2000.0,-2000.0,0.0
6,-1976.8,-2020.7301255601817,-1932.8698744398182,86.80645137315544
7,-1866.6666666666667,-2039.066235118477,-1694.2670982148566,340.66360076898275
8,-1891.4,-2018.7269799629635,-1764.0730200370367,251.59962904053202
9,-1805.5333333333333,-1980.1977561938997,-1630.8689104727669,345.13898005811444
10,-1740.2,-1990.3222957962764,-1490.0777042037237,494.24463578272656
11,-1587.8,-1832.4104569677174,-1343.1895430322825,483.3531766041611
12,-1598.7333333333333,-1865.5248757337902,-1331.9417909328765,527.1832656254895
13,-1502.4,-1777.7812198628578,-1227.0187801371424,544.156570605679
14,-1389.6,-1737.010836400811,-1042.1891635991888,686.48795085323
15,-1358.2666666666667,-1676.3181624265223,-1040.215170906811,628.4735440378979
16,-1319.1333333333334,-1632.4463269623407,-1005.8203397043262,619.1102073854775
17,-1285.7333333333333,-1576.8077248867514,-994.6589417799153,575.1664647927782
18,-1293.6,-1572.671808630443,-1014.5281913695569,551.4492179702497
19,-1303.9333333333334,-1591.5863455012989,-1016.2803211653679,568.4057783739438
20,-1087.5333333333333,-1391.9609173279023,-783.1057493387643,601.5525321107782
21,-974.7333333333333,-1250.5663936086733,-698.9002730579934,545.0494126427642
22,-916.1333333333333,-1201.234817253033,-631.0318494136336,563.3639281632749
23,-919.6,-1212.7015453385093,-626.4984546614908,579.1721448182167
24,-1003.2,-1284.0041685084702,-722.3958314915299,554.8723817239421
25,-938.0666666666667,-1232.9476930944136,-643.1856402389199,582.688420646537
26,-914.8666666666667,-1200.9839352773097,-628.7493980560238,565.3711308119256
27,-830.0666666666667,-1125.153689250351,-534.9796440829825,583.0954715043574
28,-800.8666666666667,-1041.4580920497867,-560.2752412835465,475.4115223209841
29,-755.9333333333333,-995.2301653864072,-516.6365012802594,472.85339048048377
30,-716.2666666666667,-928.9795162048106,-503.5538171285228,420.32312438038537
31,-754.7333333333333,-1039.8844949043564,-469.58217176231034,563.4620917940166
32,-751.9333333333333,-1016.2798777757318,-487.58678889093466,522.3519205371881
33,-709.9333333333333,-944.845143243098,-475.0215234235685,464.1885344938579
34,-744.7333333333333,-988.9026249132473,-500.56404175341936,482.48142854299476
35,-723.9333333333333,-995.0537550232232,-452.81291164344344,535.7371826641202
36,-497.6,-577.7722367949848,-417.42776320501525,158.42129486488446
37,-642.6666666666666,-809.7719817245444,-475.56135160878887,330.2020930009715
38,-436.4,-550.0053002081231,-322.79469979187684,224.48542640150757
39,-537.7333333333333,-640.8674111908772,-434.59925547578945,203.7941663105748
40,-471.4,-578.322194784806,-364.47780521519394,211.27953048035675
41,-538.4,-748.1271071692927,-328.67289283070727,414.42326189537187
42,-457.8666666666667,-536.4411013547262,-379.29223197860705,155.26401886965166
43,-437.2,-530.6183876984493,-343.7816123015507,184.59584682940908
44,-514.4666666666667,-662.9285976489646,-366.0047356843688,293.3625440001198
45,-425.6666666666667,-510.0778727192949,-341.2554606140385,166.79754860975092
46,-440.26666666666665,-545.0180621109562,-335.5152712223771,206.99000512638824
47,-421.1333333333333,-475.5822655572615,-366.68440110940514,107.59173863369911
48,-421.53333333333336,-486.1883478565132,-356.87831881015353,127.7590788250378
49,-387.8666666666667,-460.06041190430506,-315.6729214290283,142.65570051311965
50,-391.46666666666664,-484.5312179218354,-298.4021154114979,183.89666180282398
51,-398.06666666666666,-482.7466245917424,-313.38670874159095,167.32860551089948
52,-403.6,-478.7204473587437,-328.47955264125636,148.43889876533936
53,-379.26666666666665,-448.08706875446273,-310.44626457887057,135.9899342680267
54,-406.4,-497.3313830328488,-315.46861696715115,179.68149598664854
55,-392.6,-453.8612937854455,-331.3387062145545,121.05304622354613
56,-386.2,-453.14552082402525,-319.2544791759747,132.28514655848554
57,-385.53333333333336,-464.6789146256816,-306.3877520409851,156.39261136284185
58,-337.1333333333333,-393.1525782635191,-281.11408840314755,110.6946952457775
59,-364.46666666666664,-425.4234346027606,-303.5098987305727,120.45129951791951
60,-365.6666666666667,-417.3630195891068,-313.9703137442266,102.15260914707737
61,-358.0,-422.37982601888746,-293.62017398111254,127.21530306269499
62,-361.93333333333334,-424.0854842425097,-299.78118242415695,122.81339051133183
63,-314.0,-371.2686823083379,-256.7313176916621,113.16359838746733
64,-329.73333333333335,-389.3864854077612,-270.0801812589055,117.87533904746809
65,-336.6666666666667,-394.8004609971528,-278.53287233618056,114.87307004786729
66,-335.73333333333335,-410.3854006171544,-261.0812660495123,147.51337415826254
67,-300.8,-368.07828595517776,-233.52171404482226,132.94269442131824
68,-311.8666666666667,-357.31345252408863,-266.4198808092447,89.80339018594393
69,-324.4,-396.6017700047736,-252.1982299952264,142.67155754856444
70,-316.53333333333336,-374.2929860090101,-258.7736806576566,114.1337616814392
71,-295.26666666666665,-337.8641870479874,-252.6691462853459,84.17320766662566
72,-331.2,-394.2764692255008,-268.12353077449916,124.6398545142497
73,-278.1333333333333,-309.0805777608952,-247.18608890577144,61.152123611712966
74,-330.26666666666665,-402.589330871936,-257.9440024613973,142.9104459287548
75,-293.26666666666665,-333.0067230941462,-253.5266102391871,78.52682485763843
76,-281.53333333333336,-338.1856946795624,-224.88097198710435,111.94574082513765
77,-262.8,-300.05957193289026,-225.5404280671098,73.62535795045979
78,-250.66666666666666,-281.87859114956143,-219.45474218377188,61.67513455374234
79,-250.93333333333334,-279.21442209858685,-222.65224456807982,55.883768265530875
80,-303.2,-358.61844303679254,-247.78155696320744,109.50750354808265
81,-324.93333333333334,-384.36741295075797,-265.4992537159087,117.44244926298535
82,-305.53333333333336,-360.02395495958035,-251.04271170708637,107.67411738925728
83,-296.06666666666666,-336.31940941894976,-255.81392391438354,79.53989914222645
84,-254.33333333333334,-331.56112869034,-177.10553797632667,152.60304351122517
85,-276.53333333333336,-309.37403737053785,-243.69262929612887,64.89362235398963
86,-262.06666666666666,-300.1148914051239,-224.01844192820946,75.18374528816422
87,-239.0,-273.47471060228224,-204.52528939771776,68.12243878977519
88,-278.3333333333333,-323.06435875483754,-233.6023079118291,88.3890390389115
89,-280.3333333333333,-325.5314099361335,-235.13525673053314,89.31193773635316
90,-237.93333333333334,-270.8065668012634,-205.0600998654033,64.95790089657214
91,-271.53333333333336,-311.42707430570107,-231.63959236096565,78.83050734892481
92,-245.2,-282.13833654679706,-208.2616634532029,72.9905930011989
93,-255.4,-307.10069029240435,-203.6993097075957,102.16117984179053
94,-245.2,-286.35074858992374,-204.04925141007624,81.31436937384846
95,-245.46666666666667,-275.8886430195405,-215.04469031379284,60.11418763948787
96,-210.06666666666666,-246.34095086013005,-173.79238247320328,71.67841764126463
97,-262.2,-317.3847273171361,-207.0152726828639,109.04567850217632
98,-278.06666666666666,-332.16533884972836,-223.967994483605,106.89962062088382
99,-252.46666666666667,-291.04493138043944,-213.8884019528939,76.23111059286899
100,-250.6,-286.6321714619958,-214.56782853800416,71.2
101,-246.0,-282.6784847863461,-209.3215152136539,72.47712282736762
102,-238.0,-274.9595003333228,-201.0404996666772,73.03241289546261
103,-248.13333333333333,-290.1303670261144,-206.1362996405522,82.98663881747605
104,-239.66666666666666,-283.7668763781022,-195.56645695523113,87.14253968196144
105,-237.4,-299.4337299274444,-175.3662700725556,122.57938924087794
106,-219.0,-254.6008521246332,-183.3991478753668,70.34770785178434
107,-263.6,-328.3375996726615,-198.86240032733855,127.92226806411254
108,-235.33333333333334,-284.55623729450133,-186.11042937216533,97.26504453753613
109,-253.86666666666667,-310.6944597875736,-197.03887354575977,112.29239610152695
110,-226.4,-259.96012507988877,-192.83987492011124,66.3152069035954
111,-272.53333333333336,-349.9823814609991,-195.08428520566764,153.0402416214623
112,-238.26666666666668,-276.44122647309814,-200.0921068602352,75.43338488730011
113,-282.93333333333334,-380.4503256826632,-185.41634098400348,192.69473843938297
114,-260.6,-320.6136509271016,-200.58634907289843,118.5876890743723
115,-238.6,-292.3031415989791,-184.8968584010209,106.11804747544123
116,-242.53333333333333,-304.9698173532585,-180.09684931340814,123.375236124957
117,-230.46666666666667,-294.41031061709583,-166.5230227162375,126.35340209991269
118,-223.0,-268.5964885977467,-177.40351140225332,90.09920458398435
119,-249.73333333333332,-297.3011928789146,-202.16547378775203,93.99465705855603
120,-281.73333333333335,-389.726067276015,-173.74059939065174,213.39492860786444
121,-225.86666666666667,-268.3081440508029,-183.42518928253043,83.86486484550939
